S.NO,19MAT204 Probability and Statistics(50),19CST202 Database Management System(50),19AMT202 Introduction to Machine Learning(50),19GET276  VQAR-II(50),19GEB202 HINDI(60),19GEB203 JAPANESE(60),19GEB204 GERMAN(60),19GEB205 FRENCH(60),19ITB201 Design and Analysis of Algorithm(60),19CSB201 Operating Systems(60),19CSP202 Database Management System Lab(60),19AMP202  Machine Learning Lab(60)
1.0,37.0,42.0,40.0,41.0,42.4,47.0,52.0,42.2,55.0,50.0,55.0,56.0
2.0,30.0,30.0,30.0,34.0,42.6,43.2,46.2,39.0,38.0,38.0,46.0,43.0
3.0,40.0,44.0,39.0,46.0,42.4,47.0,51.0,42.2,52.0,50.0,55.0,53.0
4.0,30.0,30.0,29.0,33.0,33.0,43.2,43.6,38.6,33.0,37.0,45.0,38.0
5.0,42.0,43.0,37.0,42.0,42.4,47.0,54.0,42.2,53.0,54.0,55.0,56.0
6.0,36.0,33.0,43.0,41.0,42.4,45.0,50.6,38.6,50.0,46.0,52.0,55.0
7.0,38.0,44.0,43.0,45.0,42.4,52.0,50.6,42.2,51.0,50.0,55.0,52.0
8.0,41.0,48.0,36.0,47.0,42.4,47.2,53.0,42.6,57.0,57.0,57.0,56.0
9.0,46.0,43.0,39.0,46.0,42.4,46.0,50.6,42.2,50.0,51.0,56.0,56.0
10.0,36.0,40.0,36.0,43.0,42.4,47.0,49.0,40.4,49.0,51.0,55.0,53.0
11.0,31.0,39.0,41.0,45.0,42.4,44.0,47.2,40.4,47.0,50.0,52.0,56.0
12.0,30.0,31.0,29.0,41.0,44.0,43.2,43.6,38.6,42.0,41.0,47.0,40.0
13.0,42.0,48.0,47.0,46.0,44.8,47.2,47.0,44.4,56.0,57.0,58.0,56.0
14.0,38.0,41.0,35.0,44.0,42.4,46.2,48.0,40.4,49.0,52.0,54.0,48.0
15.0,34.0,34.0,32.0,34.0,42.4,38.0,44.4,38.6,44.0,45.0,55.0,52.0
16.0,40.0,41.0,39.0,46.0,42.4,47.0,47.0,42.6,51.0,51.0,56.0,56.0
17.0,43.0,43.0,43.0,46.0,44.8,47.2,52.0,42.6,52.0,53.0,55.0,54.0
18.0,38.0,41.0,40.0,49.0,44.8,47.0,48.0,41.0,52.0,51.0,54.0,54.0
19.0,32.0,38.0,35.0,44.0,42.4,48.0,48.0,38.6,45.0,46.0,54.0,54.0
20.0,30.0,29.0,29.0,35.0,42.4,42.8,43.0,38.6,41.0,39.0,50.0,50.0
21.0,32.0,42.0,39.0,44.0,42.4,45.4,43.0,42.6,47.0,52.0,56.0,51.0
22.0,30.0,42.0,30.0,38.0,42.4,41.0,46.0,39.0,48.0,48.0,56.0,54.0
23.0,30.0,32.0,33.0,46.0,42.0,44.8,45.0,39.0,48.0,46.0,50.0,52.0
24.0,30.0,38.0,37.0,48.0,44.8,45.4,49.0,42.6,50.0,50.0,54.0,56.0
25.0,41.0,43.0,43.0,48.0,44.8,48.6,50.0,44.4,55.0,55.0,57.0,56.0
26.0,40.0,40.0,45.0,47.0,44.8,45.0,50.4,44.4,52.0,54.0,53.0,54.0
27.0,30.0,29.0,29.0,34.0,42.6,42.8,39.0,38.6,39.0,43.0,48.0,49.0
28.0,37.0,44.0,34.0,46.0,44.8,49.0,49.2,42.6,51.0,54.0,57.0,56.0
29.0,40.0,42.0,43.0,48.0,44.8,48.2,53.0,44.4,54.0,56.0,57.0,53.0
30.0,30.0,40.0,37.0,46.0,44.8,45.8,51.0,42.6,49.0,47.0,54.0,52.0
31.0,33.0,37.0,30.0,41.0,45.2,44.8,39.0,39.0,48.0,46.0,52.0,50.0
32.0,35.0,41.0,42.0,47.0,44.8,46.6,50.0,42.6,49.0,47.0,56.0,48.0
33.0,30.0,31.0,30.0,43.0,45.2,44.0,44.2,39.0,45.0,44.0,49.0,54.0
34.0,30.0,35.0,29.0,46.0,45.2,43.0,45.6,39.0,49.0,46.0,52.0,45.0
35.0,30.0,39.0,36.0,41.0,47.0,46.8,46.4,42.6,51.0,49.0,55.0,55.0
36.0,33.0,42.0,43.0,46.0,45.4,48.6,50.6,42.0,51.0,54.0,55.0,53.0
37.0,31.0,35.0,34.0,47.0,45.4,48.0,45.0,40.8,47.0,45.0,51.0,52.0
38.0,30.0,30.0,30.0,35.0,43.0,44.8,41.4,32.0,42.0,41.0,48.0,39.0
39.0,48.0,43.0,46.0,48.0,45.4,49.2,54.0,44.4,54.0,53.0,57.0,57.0
40.0,32.0,43.0,36.0,45.0,45.4,48.2,45.0,39.0,52.0,49.0,57.0,54.0
41.0,46.0,48.0,47.0,46.0,45.4,49.2,50.2,50.0,58.0,54.0,58.0,56.0
42.0,47.0,45.0,46.0,49.0,45.4,51.0,50.2,44.4,57.0,53.0,56.0,57.0
43.0,35.0,38.0,43.0,45.0,46.0,49.0,48.6,44.4,50.0,50.0,55.0,56.0
44.0,37.0,38.0,36.0,39.0,45.4,50.0,43.4,44.4,53.0,47.0,52.0,54.0
45.0,43.0,43.0,45.0,48.0,45.4,49.2,54.0,44.4,57.0,57.0,58.0,56.0
46.0,40.0,43.0,38.0,46.0,45.4,49.8,47.2,41.0,49.0,51.0,56.0,54.0
47.0,39.0,42.0,42.0,49.0,45.4,49.8,47.2,50.0,53.0,54.0,56.0,53.0
48.0,41.0,39.0,36.0,47.0,45.4,51.0,43.4,44.4,50.0,49.0,54.0,52.0
49.0,30.0,37.0,38.0,48.0,45.4,47.2,46.0,44.4,51.0,49.0,53.0,51.0
50.0,31.0,36.0,33.0,42.0,44.0,46.2,39.0,40.8,47.0,47.0,50.0,50.0
51.0,30.0,30.0,30.0,45.0,47.0,42.2,42.6,40.8,42.0,40.0,44.0,40.0
52.0,30.0,32.0,37.0,38.0,44.0,45.0,47.0,40.8,47.0,43.0,50.0,55.0
53.0,40.0,42.0,44.0,44.0,45.4,49.0,47.0,44.4,52.0,54.0,54.0,56.0
54.0,45.0,43.0,44.0,48.0,45.4,49.0,43.0,44.4,54.0,55.0,54.0,57.0
55.0,37.0,39.0,38.0,47.0,44.0,47.8,46.0,44.4,51.0,49.0,53.0,52.0
56.0,33.0,34.0,37.0,43.0,44.0,45.0,39.0,40.8,48.0,48.0,53.0,53.0
57.0,39.0,41.0,40.0,48.0,45.0,47.8,46.8,44.4,50.0,52.0,54.0,49.0
58.0,31.0,40.0,39.0,46.0,44.0,45.0,50.0,44.4,50.0,50.0,53.0,50.0
59.0,35.0,37.0,34.0,43.0,44.0,45.0,48.0,40.8,47.0,48.0,51.0,50.0
60.0,30.0,35.0,36.0,46.0,44.0,45.0,47.0,40.8,47.0,47.0,53.0,53.0
61.0,30.0,30.0,30.0,29.0,35.0,45.0,42.6,40.8,38.0,38.0,48.0,40.0
